job_title,job_description,resume_text,label
Data Analyst,"python sql power bi excel data analysis statistics", "Python SQL Power BI Excel data analysis statistics bachelor",2
Data Analyst,"python sql power bi excel data analysis statistics", "Python SQL Excel data analysis bachelor",2
Data Analyst,"python sql power bi excel data analysis statistics", "Python Excel communication",1
Data Analyst,"python sql power bi excel data analysis statistics", "marketing communication",0
Software Developer,"python java git docker sql", "Python Java Git Docker SQL computer science",2
Software Developer,"python java git docker sql", "Python Git SQL",1
Software Developer,"python java git docker sql", "excel marketing",0
Project Manager,"project management agile scrum communication leadership", "PMP project management agile scrum leadership",2
Project Manager,"project management agile scrum communication leadership", "project management communication",1
Project Manager,"project management agile scrum communication leadership", "python sql",0
